INCIDENT_ID,FIRST_OCCURENCE_DATE,LAST_OCCURENCE_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,INCIDENT_ADDRESS,GEO_X,GEO_Y,DISTRICT_ID,PRECINCT_ID,OFFENSE_CODE,OFENSE_TYPE_ID,OFENSE_CATEGORY_ID,MJ_RELATION_TYPE,SIZE_QTY_LBS,SIZE_QTY_GRAMS,RECORD_CREATED_DATETIME,RECORD_UPDATED_DATETIME
2016384509,6/19/2016 12:00:00 AM,6/19/2016 12:00:00 AM,2016,06,19,1100 N YUMA CT                                    ,3136556,1692610,1,123,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016385249,6/19/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,06,19,1705 N FEDERAL BLVD                               ,3133375,1696309,1,121,1202,ROBBERY - BUSINESS,Robbery-Business,INDUSTRY,,,,
2016403549,6/27/2016 12:00:00 AM,6/27/2016 12:00:00 AM,2016,06,27,2420 S COLORADO BLVD                              ,3157568,1670426,3,314,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016405818,6/28/2016 12:00:00 AM,6/28/2016 12:00:00 AM,2016,06,28,3400 S ONEIDA WAY                                 ,3166538,1663587,3,323,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016405843,6/28/2016 12:00:00 AM,6/28/2016 12:00:00 AM,2016,06,28,1995 S BROADWAY ST                                ,3144121,1673149,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016405867,6/28/2016 12:00:00 AM,6/28/2016 12:00:00 AM,2016,06,28,2895 W 8TH AVE                                    ,3134093,1690994,1,122,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016412937,6/30/2016 12:00:00 AM,6/30/2016 12:00:00 AM,2016,07,01,6853 LEETSDALE DR                                 ,3166373,1680902,3,322,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016413112,7/1/2016 12:00:00 AM,7/1/2016 12:00:00 AM,2016,07,01,1810 S BROADWAY ST                                ,3144328,1674322,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016413163,7/1/2016 12:00:00 AM,7/1/2016 12:00:00 AM,2016,07,01,3835 N ELM ST                                     ,3160273,1705814,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016415313,7/2/2016 12:00:00 AM,7/2/2016 12:00:00 AM,2016,07,02,2775 S FEDERAL BLVD                               ,3133544,1667679,4,423,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,NON-INDUSTRY,,,,
2016415402,7/2/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,07,02,550 N ALTON WAY                                   ,3174900,1689147,3,321,1205,ROBBERY - STREET,Robbery-Street-Res,NON-INDUSTRY,,,,
2016420781,7/4/2016 12:00:00 AM,7/4/2016 12:00:00 AM,2016,07,04,1100 N YUMA CT                                    ,3136556,1692610,1,123,2203,BURG/AUTO THEFT-BUSN W/ FORCE,Burglary,INDUSTRY,,,,
2016420936,7/3/2016 12:00:00 AM,7/4/2016 12:00:00 AM,2016,07,04,3880 N HOLLY ST                                   ,3162502,1706158,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016426024,7/6/2016 12:00:00 AM,7/6/2016 12:00:00 AM,2016,07,06,1075 S JASON ST                                   ,3140907,1679196,4,412,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016429055,7/7/2016 12:00:00 AM,7/7/2016 12:00:00 AM,2016,07,07,1126 S SHERIDAN BLVD                              ,3125821,1678730,4,421,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016435162,7/9/2016 12:00:00 AM,7/9/2016 12:00:00 AM,2016,07,10,1397 S CHEROKEE ST                                ,3143133,1677110,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016435651,7/9/2016 12:00:00 AM,7/10/2016 12:00:00 AM,2016,07,10,1255 W VIRGINIA AVE                               ,3139724,1683088,4,412,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016437390,7/11/2016 12:00:00 AM,7/11/2016 12:00:00 AM,2016,07,11,330 S DAYTON ST                                   ,3175842,1683494,3,321,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016437413,7/11/2016 12:00:00 AM,7/11/2016 12:00:00 AM,2016,07,11,7739 E COLFAX AVE                                 ,3169284,1695129,2,223,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016446788,7/15/2016 12:00:00 AM,7/15/2016 12:00:00 AM,2016,07,15,4935 N YORK ST                                    ,3151866,1711453,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
